condition	WORD	BITMAP	WAV	trigg	Response	delayed_feedback	meg_trigger	AbsoluteOrder	ONSETS_TRIGGERS	ONSETS_MS	REPONSE_1	JUSTE	INSTANT_REPONSE	TEMPS_REACTION	EXACT
jitter	Noir	Black	Rien	8	0	0	0	3142	315000	0	0	0	0		NA
fixation_cross	+	BlackMEG	Rien	10	0	0	100	3150	315800	0	0	0	0		NA
pres	gbamch	BlackMEG	gbamch_660ms	8	1	0	54	3160	316800	0	0	0	4294650496		0
resp	Noir	Black	Rien	15	0	0	0	3168	317600	0	0	0	0		NA
jitter	Noir	Black	Rien	4	0	0	0	3183	319100	0	0	0	0		NA
fixation_cross	+	BlackMEG	Rien	10	0	0	100	3187	319500	0	0	0	0		NA
pres	pnoulf	BlackMEG	pnoulf_660ms	8	1	0	52	3197	320500	0	0	0	4294646796		1
resp	Noir	Black	Rien	15	0	0	0	3205	321300	0	0	0	0		NA
jitter	Noir	Black	Rien	9	0	0	0	3220	322800	0	0	0	0		NA
fixation_cross	+	BlackMEG	Rien	10	0	0	100	3229	323700	0	0	0	0		NA
pres	kgnamj	BlackMEG	kgnamj_660ms	8	1	0	54	3239	324700	0	0	0	4294642596		0
resp	Noir	Black	Rien	15	0	0	0	3247	325500	0	0	0	0		NA
jitter	Noir	Black	Rien	8	0	0	0	3262	327000	0	0	0	0		NA
fixation_cross	+	BlackMEG	Rien	10	0	0	100	3270	327800	0	0	0	0		NA
pres	mlagnk	BlackMEG	mlagnk_660ms	8	1	0	54	3280	328800	0	0	0	4294638496		0
resp	Noir	Black	Rien	15	0	0	0	3288	329600	0	0	0	0		NA
jitter	Noir	Black	Rien	6	0	0	0	3303	331100	0	0	0	0		NA
fixation_cross	+	BlackMEG	Rien	10	0	0	100	3309	331700	0	0	0	0		NA
pres	snoupt	BlackMEG	snoupt_660ms	8	1	0	52	3319	332700	0	0	0	4294634596		1
resp	Noir	Black	Rien	15	0	0	0	3327	333500	0	0	0	0		NA
jitter	Noir	Black	Rien	5	0	0	0	3342	335001	0	0	0	0		NA
fixation_cross	+	BlackMEG	Rien	10	0	0	100	3347	335501	0	0	0	0		NA
pres	stalm	BlackMEG	stalm_660ms	8	1	0	52	3357	336500	0	0	0	4294630796		0
resp	Noir	Black	Rien	15	0	0	0	3365	337300	0	0	0	0		NA
jitter	Noir	Black	Rien	9	0	0	0	3380	338800	0	0	0	0		NA
fixation_cross	+	BlackMEG	Rien	10	0	0	100	3389	339700	0	0	0	0		NA
pres	mzanf	BlackMEG	mzanf_660ms	8	1	0	54	3399	340700	0	0	0	4294626596		1
resp	Noir	Black	Rien	15	0	0	0	3407	341500	0	0	0	0		NA
jitter	Noir	Black	Rien	9	0	0	0	3422	343000	0	0	0	0		NA
fixation_cross	+	BlackMEG	Rien	10	0	0	100	3431	343900	0	0	0	0		NA
pres	jnakch	BlackMEG	jnakch_660ms	8	1	0	54	3441	344900	0	0	0	4294622396		1
resp	Noir	Black	Rien	15	0	0	0	3449	345701	0	0	0	0		NA
jitter	Noir	Black	Rien	5	0	0	0	3464	347200	0	0	0	0		NA
fixation_cross	+	BlackMEG	Rien	10	0	0	100	3469	347700	0	0	0	0		NA
pres	plouks	BlackMEG	plouks_660ms	8	1	0	52	3479	348701	0	0	0	4294618595		0
resp	Noir	Black	Rien	15	0	0	0	3487	349500	0	0	0	0		NA
jitter	Noir	Black	Rien	8	0	0	0	3502	351000	0	0	0	0		NA
fixation_cross	+	BlackMEG	Rien	10	0	0	100	3510	351800	0	0	0	0		NA
pres	djilk	BlackMEG	djilk_660ms	8	1	0	52	3520	352800	0	0	0	4294614496		1
resp	Noir	Black	Rien	15	0	0	0	3528	353600	0	0	0	0		NA
jitter	Noir	Black	Rien	7	0	0	0	3543	355100	0	0	0	0		NA
fixation_cross	+	BlackMEG	Rien	10	0	0	100	3550	355800	0	0	0	0		NA
pres	bjoumg	BlackMEG	bjoumg_660ms	8	1	0	54	3560	356800	0	0	0	4294610496		1
resp	Noir	Black	Rien	15	0	0	0	3568	357600	0	0	0	0		NA
jitter	Noir	Black	Rien	4	0	0	0	3583	359101	0	0	0	0		NA
